row	strain	query	array	present	category
442	RPF1g3-CC8	RPF1g3	CC8	yes	single
443	RPF1g3-CC16	RPF1g3	CC16	no	single
444	RPF1g3-CC17	RPF1g3	CC17	yes	single
445	RPF1g3-CC19	RPF1g3	CC19	yes	single
446	RPF1g3-CC20	RPF1g3	CC20	yes	single
447	RPF1g3-CC23	RPF1g3	CC23	yes	single
448	RPF1g3-CC25	RPF1g3	CC25	yes	single
449	RPF1g3-CC27	RPF1g3	CC27	yes	single
450	RPF1g3-CC28	RPF1g3	CC28	yes	single
451	RPF1g3-CC30	RPF1g3	CC30	yes	single
452	RPF1g3-CC32	RPF1g3	CC32	yes	single
453	RPF1g3-CC34	RPF1g3	CC34	yes	single
454	RPF1g3-CC35	RPF1g3	CC35	yes	single
455	RPF1g3-CC36	RPF1g3	CC36	yes	single
456	RPF1g3-CC11	RPF1g3	CC11	yes	single
457	RPF1g3-CC14	RPF1g3	CC14	no	single
458	RPF1g3-CC15	RPF1g3	CC15	no	single
459	RPF1g3-CC2	RPF1g3	CC2	no	single
460	RPF1g3-CC22	RPF1g3	CC22	yes	single
461	RPF1g3-CC26	RPF1g3	CC26	yes	single
462	RPF1g3-CC7	RPF1g3	CC7	yes	single
463	MAK16g1-CC5	MAK16g1	CC5	no	single
464	MAK16g1-CC8	MAK16g1	CC8	yes	single
465	MAK16g1-CC16	MAK16g1	CC16	no	single
466	MAK16g1-CC17	MAK16g1	CC17	yes	single
467	MAK16g1-CC19	MAK16g1	CC19	yes	single
468	MAK16g1-CC20	MAK16g1	CC20	yes	single
469	MAK16g1-CC23	MAK16g1	CC23	yes	single
470	MAK16g1-CC25	MAK16g1	CC25	yes	single
471	MAK16g1-CC27	MAK16g1	CC27	yes	single
472	MAK16g1-CC28	MAK16g1	CC28	yes	single
473	MAK16g1-CC30	MAK16g1	CC30	yes	single
474	MAK16g1-CC32	MAK16g1	CC32	yes	single
475	MAK16g1-CC34	MAK16g1	CC34	yes	single
476	MAK16g1-CC35	MAK16g1	CC35	yes	single
477	MAK16g1-CC36	MAK16g1	CC36	yes	single
478	MAK16g1-CC11	MAK16g1	CC11	yes	single
479	MAK16g1-CC14	MAK16g1	CC14	no	single
480	MAK16g1-CC15	MAK16g1	CC15	no	single
481	MAK16g1-CC2	MAK16g1	CC2	no	single
482	MAK16g1-CC22	MAK16g1	CC22	yes	single
483	MAK16g1-CC26	MAK16g1	CC26	yes	single
484	MAK16g1-CC7	MAK16g1	CC7	yes	single
485	YCR016Wg4-CC5	YCR016Wg4	CC5	no	single
486	YCR016Wg4-CC8	YCR016Wg4	CC8	yes	single
487	YCR016Wg4-CC16	YCR016Wg4	CC16	no	single
