"strain"	"query"	"array"	"r1"	"r2"	"r3"	"mean"	"sd"	"gi_score"
"PRE7g7-RET2-TRg-4"	"PRE7g7-RET2-TRg-4"	"PRE7g7"	"RET2-TRg-4"	0.0727878370650948	0.108400310536762	0.279160062468954	0.153449403356937	0.110315182216574	-0.0270585355023198
"PRE7g7-RET2-TRg-1"	"PRE7g7-RET2-TRg-1"	"PRE7g7"	"RET2-TRg-1"	0.195092853448478	NA	0.109871152911491	NA	NA	NA
"PRE7g7-RPS2-NRg-1"	"PRE7g7-RPS2-NRg-1"	"PRE7g7"	"RPS2-NRg-1"	NA	0.117954403750541	0.0219277448118336	NA	NA	NA
"PRE7g7-RPS2-NRg-2"	"PRE7g7-RPS2-NRg-2"	"PRE7g7"	"RPS2-NRg-2"	0.177040901158383	0.0803209204625746	0.0619765775354998	0.106446133052152	0.0618210699708105	-0.00980390603025826
"PRE7g7-ORC4-NRg-3"	"PRE7g7-ORC4-NRg-3"	"PRE7g7"	"ORC4-NRg-3"	0.075981038384585	0.273040514562977	0.214132047241458	0.187717866729673	0.10115033854124	-0.0149837496367881
"PRE7g7-TIP20-TRg-7"	"PRE7g7-TIP20-TRg-7"	"PRE7g7"	"TIP20-TRg-7"	-0.158898527297772	0.330883127793975	0.0724085569813707	0.0814643858258579	0.245016373826624	-0.105987900787589
"PRE7g7-SMT3-TRg-1"	"PRE7g7-SMT3-TRg-1"	"PRE7g7"	"SMT3-TRg-1"	0.135621025197437	0.222230161835246	0.302185381039463	0.220012189357382	0.0833043258822835	0.0375524758686543
"PRE7g7-MSS18-NRg-6"	"PRE7g7-MSS18-NRg-6"	"PRE7g7"	"MSS18-NRg-6"	0.0336796572680829	0.448254453455689	0.210501212747133	0.230811774490302	0.208032340267664	0.0269894296499524
"PRE7g7-YEF3-NRg-9"	"PRE7g7-YEF3-NRg-9"	"PRE7g7"	"YEF3-NRg-9"	0.117007700859615	0.0597006450783274	-0.102893890271619	0.0246048185554411	0.114074384613749	-0.0396637644719372
"PRE7g7-ASK1-NRg-1"	"PRE7g7-ASK1-NRg-1"	"PRE7g7"	"ASK1-NRg-1"	-0.118827243170952	NA	0.277045823049195	NA	NA	NA
"PRE7g7-SMC1-TRg-1"	"PRE7g7-SMC1-TRg-1"	"PRE7g7"	"SMC1-TRg-1"	0.0453448574297023	0.39074183558309	-0.0918089438922167	0.114759249706859	0.248651527412284	-0.0234064398262833
"PRE7g7-NIP1-NRg-1"	"PRE7g7-NIP1-NRg-1"	"PRE7g7"	"NIP1-NRg-1"	NA	0.306040790864109	NA	NA	NA	NA
"PRE7g7-RPP1-NRg-1"	"PRE7g7-RPP1-NRg-1"	"PRE7g7"	"RPP1-NRg-1"	0.216104745980861	0.211761858165185	0.135263142374983	0.187709915507009	0.045472114285753	0.0164923703751196
"PRE7g7-YDJ1-TRg-6"	"PRE7g7-YDJ1-TRg-6"	"PRE7g7"	"YDJ1-TRg-6"	0.120252487330056	0.290763385442528	0.259196766309544	0.223404213027376	0.0907156091674583	0.0518600948619027
"PRE7g7-SUB2-NRg-1"	"PRE7g7-SUB2-NRg-1"	"PRE7g7"	"SUB2-NRg-1"	0.0639363413190964	0.460244257230525	0.201346588165335	0.241842395571652	0.20123350582503	0.0993935952562912
"PRE7g7-TIM10-NRg-8"	"PRE7g7-TIM10-NRg-8"	"PRE7g7"	"TIM10-NRg-8"	0.0272472279759176	0.26416189344764	0.0951925089539689	0.128867210125842	0.121994380211368	-0.0793639825570756
"PRE7g7-TIM10-NRg-4"	"PRE7g7-TIM10-NRg-4"	"PRE7g7"	"TIM10-NRg-4"	0.241326852031128	0.324195408382694	0.193848344204306	0.253123534872709	0.0659693912320694	0.076455383951756
"PRE7g7-TIM10-NRg-7"	"PRE7g7-TIM10-NRg-7"	"PRE7g7"	"TIM10-NRg-7"	0.188386814213841	0.227151790950811	NA	NA	NA	NA
"PRE7g7-SKI6-TRg-4"	"PRE7g7-SKI6-TRg-4"	"PRE7g7"	"SKI6-TRg-4"	-0.0334370826831529	0.264767587243155	0.00335221584410705	0.0782275734680365	0.162592268192396	-0.127482383842723
"PRE7g7-TUB4-TRg-1"	"PRE7g7-TUB4-TRg-1"	"PRE7g7"	"TUB4-TRg-1"	NA	0.380936876527045	-0.045219626687681	NA	NA	NA
"PRE7g7-CDC37-NRg-2"	"PRE7g7-CDC37-NRg-2"	"PRE7g7"	"CDC37-NRg-2"	0.0653107492990508	NA	-0.0537181519484091	NA	NA	NA
"PRE7g7-ISD11-TRg-3"	"PRE7g7-ISD11-TRg-3"	"PRE7g7"	"ISD11-TRg-3"	0.464950501728954	0.249784394217824	NA	NA	NA	NA
"PRE7g7-YOS1-TRg-4"	"PRE7g7-YOS1-TRg-4"	"PRE7g7"	"YOS1-TRg-4"	0.154889128158572	NA	NA	NA	NA	NA
"PRE7g7-SSC1-TRg-6"	"PRE7g7-SSC1-TRg-6"	"PRE7g7"	"SSC1-TRg-6"	0.206410041092115	0.412046763440524	0.166372911341316	0.261609905291318	0.131811149592983	0.148014383698977
"PRE7g7-MTR3-TRg-5"	"PRE7g7-MTR3-TRg-5"	"PRE7g7"	"MTR3-TRg-5"	0.104082197412739	0.4545922790751	0.0072773604465155	0.188650612311452	0.235343412284655	0.0462506129808744
"PRE7g7-MTR3-TRg-6"	"PRE7g7-MTR3-TRg-6"	"PRE7g7"	"MTR3-TRg-6"	0.131438754502203	0.220372055327648	0.0904487918632539	0.147419867231035	0.0664195797212562	-0.0492495285945181
"PRE7g7-TFA1-TRg-2"	"PRE7g7-TFA1-TRg-2"	"PRE7g7"	"TFA1-TRg-2"	0.127012924901307	0.297619742025426	NA	NA	NA	NA
"PRE7g7-CDC3-NRg-3"	"PRE7g7-CDC3-NRg-3"	"PRE7g7"	"CDC3-NRg-3"	0.210398180914265	0.208754398537082	0.152798975643896	0.190650518365081	0.0327906994421617	-0.0211578325734078
"PRE7g7-ERG25-TA-18"	"PRE7g7-ERG25-TA-18"	"PRE7g7"	"ERG25-TA-18"	NA	NA	NA	NA	NA	NA
